Срок размещения объявления (дней),Модель машины,Год выпуска,"Пробег, км","Цена машины, ₽",Тип машины,Привод,Тип бензина,Ссылка
0,BMW X6 M 4.4 AT,2023,0,22700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_m_4.4_at_2023_3903949169
0,BMW 3 серия 2.0 AT,2019,159000,3250000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_159_000_km_3750742294
0,BMW X5 3.0 AT,2015,116300,3500000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2015_116_300_km_3772794232
14,BMW X6 3.0 AT,2023,0,18900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2023_3537004056
0,BMW 5 серия 2.0 AT,2020,107886,4949000,универсал,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2020_107_886_km_3659769398
0,BMW 3 серия 3.0 AT,2021,39700,6780000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_3.0_at_2021_39_700_km_3899673486
0,BMW 3 серия 2.0 AT,2021,56877,5190000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2021_56_877_km_4138414699
7,BMW 7 серия 3.0 AT,2023,0,26538980,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2023_3950125465
0,BMW M3 3.0 AT,2023,41,16490000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_m3_3.0_at_2023_41_km_3732993952
0,BMW 5 серия 2.0 AT,2020,51900,5190000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2020_51_900_km_3787054514
14,BMW X7 3.0 AT,2023,0,16960000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2023_3901933964
0,BMW X5 3.0 AT,2023,8800,13300000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2023_8_800_km_4354083113
4,BMW 3 серия GT 2.0 AT,2014,66666,3200000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2.0_at_2014_66_666_km_4273893305
0,BMW X5 3.0 AT,2015,153450,3549000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2015_153_450_km_3987749353
0,BMW 4 серия 2.0 AT,2023,125,5600000,купе,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_4_seriya_2.0_at_2023_125_km_3606911100
5,BMW X7 3.0 AT,2020,57000,9800000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_57_000_km_3836672211
0,BMW X5 3.0 AT,2019,79000,7950000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_79_000_km_3962868045
0,BMW X6 4.4 AT,2020,61449,8495000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_4.4_at_2020_61_449_km_3952283033
0,BMW X5 3.0 AT,2023,316,13899000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2023_316_km_3703048765
0,BMW X5 3.0 AT,2019,87600,6495000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_87_600_km_3901032603
3,BMW X7 3.0 AT,2024,0,18000000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2024_4273758530
0,BMW X3 2.0 AT,2019,79670,4165000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_79_670_km_3601992026
0,BMW 5 серия 3.0 AT,2010,236601,2299000,универсал,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_3.0_at_2010_236_601_km_3988514645
0,BMW X1 2.0 AT,2009,159084,1700000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2009_159_084_km_4073833198
0,BMW X6 3.0 AT,2016,130822,3700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2016_130_822_km_3995386401
0,BMW X5 3.0 AT,2020,55480,6799000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_55_480_km_3744348823
0,BMW 3 серия 3.0 AT,2006,250420,950000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_3.0_at_2006_250_420_km_3835711957
0,BMW 5 серия 3.0 AT,2020,61124,6850000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_3.0_at_2020_61_124_km_3889575864
0,BMW 5 серия 3.0 AT,2011,150000,1150000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_3.0_at_2011_150_000_km_3848700231
0,BMW 5 серия 2.0 AT,2013,228742,1350000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2013_228_742_km_3824786716
0,BMW 5 серия 3.0 AT,2021,79650,5950000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_3.0_at_2021_79_650_km_4056213828
1,BMW X5 3.0 AT,2023,0,13580000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2023_3814953938
0,BMW 1 серия 2.0 AT,2008,283742,818000,хетчбэк,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_2.0_at_2008_283_742_km_3894943248
0,BMW X3 2.0 AT,2022,10174,7200000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2022_10_174_km_3448733295
0,BMW X5 3.0 AT,2020,25200,7990000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_25_200_km_3830884790
0,BMW X5 3.0 AT,2022,45700,8795000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2022_45_700_km_3901324726
0,BMW X6 3.0 AT,2008,250000,1720000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2008_250_000_km_4004197511
0,BMW X5 3.0 AT,2019,90000,7100000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_90_000_km_3972286584
0,BMW X1 2.0 AT,2017,125000,2850000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2017_125_000_km_3886504509
0,BMW X7 3.0 AT,2021,79856,9495000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2021_79_856_km_3900615790
0,BMW 5 серия 3.0 AT,2017,97500,4299000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_3.0_at_2017_97_500_km_3830943553
0,BMW X5 3.0 AT,2019,119000,6400000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_119_000_km_3901139293
0,BMW X5 3.0 AT,2020,74000,7820000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_74_000_km_4006287508
0,BMW 7 серия 3.0 AT,2019,59739,8500000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2019_59_739_km_3895882584
0,BMW 5 серия 2.0 AT,2013,161500,2490000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2013_161_500_km_3946251095
0,BMW 4 серия Gran Coupe 2.0 AT,2023,16560,6890000,лифтбек,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_4_seriya_gran_coupe_2.0_at_2023_16_560_km_3572821948
0,BMW X1 2.0 AT,2011,218047,1227000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2011_218_047_km_3898853893
0,BMW i7 AT,2024,2750,24500000,седан,полный,электро,https://www.avito.ru/moskva/avtomobili/bmw_i7_at_2024_2_750_km_3721298618
0,BMW X6 3.0 AT,2010,196000,1999999,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2010_196_000_km_3903702714
0,BMW X5 3.0 AT,2020,74000,8290000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_74_000_km_3593950811
0,BMW X3 2.0 AT,2022,9000,5450000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2022_9_000_km_3710022485
0,BMW X4 3.0 AT,2019,65727,5470000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_3.0_at_2019_65_727_km_3732270749
0,BMW 4 серия 3.0 AT,2020,29800,5740000,купе,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_4_seriya_3.0_at_2020_29_800_km_3285830173
0,BMW X3 2.0 AT,2022,36900,4555000,внедорожник,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2022_36_900_km_3900794763
0,BMW X6 4.4 AT,2008,108000,1900000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_4.4_at_2008_108_000_km_3873066087
1,BMW 3 серия 3.0 AT,2013,186500,2700000,седан,задний,гибрид,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_3.0_at_2013_186_500_km_3234921788
0,BMW 4 серия 2.0 AT,2020,25000,5495000,купе,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_4_seriya_2.0_at_2020_25_000_km_3848621053
0,BMW 6 серия GT 3.0 AT,2018,218329,3632000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_6_seriya_gt_3.0_at_2018_218_329_km_3994747951
0,BMW 3 серия 2.0 AT,2020,87000,3100000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2020_87_000_km_3784550338
0,BMW XM 4.4 AT,2023,15,25490000,внедорожник,полный,гибрид,https://www.avito.ru/moskva/avtomobili/bmw_xm_4.4_at_2023_15_km_3548661660
0,BMW X4 2.0 AT,2019,98000,4450000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2019_98_000_km_4289894971
0,BMW 3 серия 2.0 AT,2009,248684,970000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2009_248_684_km_4385616502
0,BMW X4 3.0 AT,2019,65727,5470000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_3.0_at_2019_65_727_km_3732270749
0,BMW 7 серия 4.4 AT,2022,4300,21890000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_4.4_at_2022_4_300_km_3740855078
0,BMW X5 3.0 AT,2019,62500,7320000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_62_500_km_3949857880
0,BMW M2 3.0 AMT,2019,58000,5890000,купе,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_m2_3.0_amt_2019_58_000_km_3688631468
0,BMW 5 серия 2.0 AT,2015,184754,1500000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2015_184_754_km_3824853471
0,BMW X7 3.0 AT,2023,53,16450000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2023_53_km_3733280047
0,BMW 5 серия 2.0 AT,2017,175000,3400000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2017_175_000_km_4056573412
0,BMW X4 3.0 AT,2022,29000,6199000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_3.0_at_2022_29_000_km_3701632152
0,BMW 5 серия 2.0 AT,2018,141811,2900000,универсал,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2018_141_811_km_3766656096
0,BMW X3 2.0 AT,2019,90000,4500000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_90_000_km_3982401949
0,BMW X5 3.0 AT,2020,105000,6350000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_105_000_km_3623928792
0,BMW 3 серия 2.5 AT,2004,350000,580000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.5_at_2004_350_000_km_3933898958
0,BMW X5 4.4 AT,2003,235000,770000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_4.4_at_2003_235_000_km_3868101129
0,BMW X2 2.0 AT,2022,55000,3800000,внедорожник,передний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x2_2.0_at_2022_55_000_km_3656176522
0,BMW X3 2.0 AT,2014,102084,2690000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2014_102_084_km_3889211843
0,BMW 7 серия 3.0 AT,2023,23800,13850000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2023_23_800_km_3560643142
0,BMW 3 серия 2.0 AT,2013,203000,1999999,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2013_203_000_km_4322103896
0,BMW 5 серия 2.0 AT,2019,79000,3715000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2019_79_000_km_4242476727
0,BMW 3 серия 2.0 AT,2003,254000,570000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2003_254_000_km_3819155257
0,BMW X7 3.0 AT,2020,87063,8931000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_87_063_km_3995204662
0,BMW X6 3.0 AT,2016,99527,3700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2016_99_527_km_3988030473
0,BMW X3 2.0 AT,2020,28000,4150000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2020_28_000_km_3566723094
0,BMW X3 2.0 AT,2008,283000,1199900,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2008_283_000_km_3971702380
0,BMW X5 3.0 AT,2007,295000,1540000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2007_295_000_km_3766831339
0,BMW X1 2.0 AT,2019,156000,2855000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2019_156_000_km_3965973343
0,BMW 3 серия 2.0 AT,2020,123815,3020000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2020_123_815_km_3963011305
0,BMW X5 3.0 AT,2020,35000,7950000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_35_000_km_3917997825
0,BMW 3 серия 2.0 AT,2019,134100,3450000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_134_100_km_3573631896
0,BMW 5 серия 2.0 AT,2013,143000,1449000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2013_143_000_km_3889021735
0,BMW 8 серия Gran Coupe 3.0 AT,2020,50000,7795000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_8_seriya_gran_coupe_3.0_at_2020_50_000_km_3869483681
0,BMW 3 серия 3.0 AT,2022,65000,6040000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_3.0_at_2022_65_000_km_3766705510
0,BMW 4 серия Gran Coupe 3.0 AT,2023,21500,6995000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_4_seriya_gran_coupe_3.0_at_2023_21_500_km_3901485723
0,BMW 1 серия 1.6 AT,2011,130000,630000,хетчбэк,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_1.6_at_2011_bityy_130_000_km_3982264968
0,BMW 3 серия 2.0 AT,2019,101000,3900000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_101_000_km_3842904022
0,BMW X3 3.0 AT,2012,142834,1599000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_3.0_at_2012_142_834_km_3481617942
0,BMW iX AT,2023,970,8890000,внедорожник,полный,электро,https://www.avito.ru/moskva/avtomobili/bmw_ix_at_2023_970_km_3443746520
0,BMW 3 серия 2.0 AT,2014,154268,1850000,седан,задний,бензин,https://www.avito.ru/voronezh/avtomobili/bmw_3_seriya_2.0_at_2014_154_268_km_3965859410
0,BMW 5 серия 2.2 AT,2004,293000,1150000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.2_at_2004_293_000_km_3928655305
0,BMW 7 серия 4.8 AT,2006,300000,580000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_4.8_at_2006_300_000_km_4290229256
0,BMW X6 3.0 AT,2021,55000,8990000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2021_55_000_km_4226071541
0,BMW iX AT,2022,2000,10495000,внедорожник,полный,электро,https://www.avito.ru/moskva/avtomobili/bmw_ix_at_2022_2_000_km_3740439451
0,BMW X7 3.0 AT,2022,14160,13595000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2022_14_160_km_4098176859
1,BMW X1 2.0 AT,2014,99000,1195000,внедорожник,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2014_99_000_km_4056093776
0,BMW i3 AT,2014,242000,1850000,хетчбэк,задний,электро,https://www.avito.ru/moskva_zelenograd/avtomobili/bmw_i3_at_2014_242_000_km_4171693001
0,BMW X5 2.0 AT,2020,83000,5440000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_2.0_at_2020_83_000_km_3875140690
0,BMW 5 серия 2.0 AT,2012,260000,2550000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2012_260_000_km_3905189972
0,BMW M3 3.0 AT,2023,43,16290000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_m3_3.0_at_2023_43_km_3732682234
0,BMW 3 серия 2.0 AT,2012,215000,1825000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2012_215_000_km_3782900669
0,BMW X5 3.0 AT,2016,156000,4350000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2016_156_000_km_3680896689
0,BMW M3 3.0 AT,2023,43,16290000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_m3_3.0_at_2023_43_km_3732682234
0,BMW X5 3.0 AT,2016,156000,4350000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2016_156_000_km_3680896689
0,BMW 3 серия 2.0 AT,2012,215000,1825000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2012_215_000_km_3782900669
0,BMW 5 серия 2.0 AT,2023,43,9500000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2023_43_km_3604654778
0,BMW X5 3.0 AT,2019,99680,6690000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_99_680_km_3800022231
0,BMW X6 4.4 AT,2023,43,18400000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x6_4.4_at_2023_43_km_3636693267
1,BMW 3 серия 2.5 AT,2011,135000,1099000,седан,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.5_at_2011_135_000_km_3755127702
0,BMW 5 серия 2.0 AT,2020,55000,3950000,седан,задний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2020_55_000_km_4140238921
0,BMW X5 3.0 AT,2019,77000,6650000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_77_000_km_4194315741
